시간,X,Y,압력_NORMAL,버튼
1765896761222,99.67578125,139.87109375,0.5,1
1765896761224,99.546875,139.87109375,0.5,1
1765896761338,99.41796875,139.7578125,0.5,1
1765896761362,99.41796875,137.93359375,0.5,1
1765896761379,99.4296875,131.39453125,0.5,1
1765896761396,106.02734375,120.68359375,0.5,1
1765896761413,121.53515625,109.59765625,0.5,1
1765896761430,149.23046875,97.7578125,0.5,1
1765896761445,180.5078125,88.90234375,0.5,1
1765896761463,205.5078125,86.19140625,0.5,1
1765896761480,226.5859375,85.69921875,0.5,1
1765896761496,240.3671875,86.9296875,0.5,1
1765896761513,247.859375,90.2734375,0.5,1
1765896761530,251.84375,96.640625,0.5,1
1765896761546,253.6640625,106.828125,0.5,1
1765896761563,250.3203125,121.3515625,0.5,1
1765896761579,235.90625,140.1875,0.5,1
1765896761597,205.359375,160.95703125,0.5,1
1765896761612,161.9765625,178.03515625,0.5,1
1765896761630,115.79296875,185.71484375,0.5,1
1765896761646,86.94921875,185.6953125,0.5,1
1765896761663,72.16015625,182.71484375,0.5,1
1765896761680,53.546875,173.0625,0.5,1
1765896761696,38.16796875,152.51171875,0.5,1
1765896761713,41.3046875,125.30859375,0.5,1
1765896761729,72.5,97.8671875,0.5,1
1765896761746,122.23828125,78.40234375,0.5,1
1765896761763,178.4453125,69.1171875,0.5,1
1765896761779,223.1953125,66.26171875,0.5,1
1765896761795,250,69.046875,0.5,1
1765896761813,267.3671875,78.1875,0.5,1
1765896761830,273.390625,92.68359375,0.5,1
1765896761846,265.3125,114.30078125,0.5,1
1765896761863,231.50390625,156.5390625,0.5,1
1765896761880,187.8671875,200.9765625,0.5,1
1765896761896,156.9453125,224.78515625,0.5,1
1765896761913,133.84375,237.625,0.5,1
1765896761928,118.9453125,242.34765625,0.5,1
1765896761946,115.01953125,232.3046875,0.5,1
1765896761962,134.05859375,200.5859375,0.5,1
1765896761980,172.1640625,168.0390625,0.5,1
1765896761996,217.46875,149.73046875,0.5,1
1765896762013,257.50390625,142.36328125,0.5,1
1765896762030,284.1796875,142.5078125,0.5,1
1765896762046,300.92578125,148.0859375,0.5,1
1765896762063,302.953125,159.1484375,0.5,1
1765896762080,287.1015625,176.2265625,0.5,1
1765896762096,246.47265625,199.5234375,0.5,1
1765896762113,202.33203125,212.109375,0.5,1
1765896762129,167.234375,208.75,0.5,1
1765896762146,144.24609375,192.7734375,0.5,1
1765896762163,143.88671875,161.67578125,0.5,1
1765896762180,171.34375,124.58984375,0.5,1
1765896762196,230.15234375,94.3984375,0.5,1
1765896762212,286.3515625,80.2265625,0.5,1
1765896762230,317.50390625,78.37890625,0.5,1
1765896762246,342.23828125,79.9375,0.5,1
1765896762263,358.6015625,86.90625,0.5,1
1765896762280,357.3984375,99.59375,0.5,1
1765896762296,336.83984375,120.26953125,0.5,1
1765896762312,297.0625,144.07421875,0.5,1
1765896762329,251.37890625,156.859375,0.5,1
1765896762345,208.1640625,148.90234375,0.5,1
1765896762362,182.60546875,118.265625,0.5,1
1765896762379,183.10546875,80.90234375,0.5,1
1765896762396,208.58984375,49.80859375,0.5,1
1765896762412,240.875,30.4609375,0.5,1
1765896762429,265.1875,25.2109375,0.5,1
1765896762446,292.55078125,30.30078125,0.5,1
1765896762462,308.359375,53.45703125,0.5,1
1765896762479,299.47265625,92.37109375,0.5,1
1765896762496,272.40625,132.16015625,0.5,1
1765896762513,239.9296875,157.60546875,0.5,1
1765896762529,207.30078125,168.9453125,0.5,1
1765896762545,178.859375,165.85546875,0.5,1
1765896762562,176.0859375,132.13671875,0.5,1
1765896762579,212.29296875,77.42578125,0.5,1
1765896762595,270.62890625,35.09375,0.5,1
1765896762613,330.23046875,17.04296875,0.5,1
1765896762629,386.015625,12.80859375,0.5,1
1765896762646,423.70703125,24.015625,0.5,1
1765896762662,441.28515625,51.125,0.5,1
1765896762679,446.9765625,83.33984375,0.5,1
1765896762696,440.71484375,109.43359375,0.5,1
1765896762713,425.4609375,125.3203125,0.5,1
1765896762730,411.09765625,126.671875,0.5,1
1765896762746,405.3203125,106.59375,0.5,1
1765896762762,407.53515625,74.45703125,0.5,1
1765896762780,417.59765625,49.52734375,0.5,1
1765896762796,432.69140625,37.328125,0.5,1
1765896762812,445.421875,33.5,0.5,1
1765896762830,453.21484375,43.91015625,0.5,1
1765896762846,456.56640625,83.625,0.5,1
1765896762863,441.5546875,153.21875,0.5,1
1765896762879,411.30859375,217.71875,0.5,1
1765896762896,387.48828125,249.6953125,0.5,1
1765896762912,361.28125,266.13671875,0.5,1
1765896762930,333.88671875,264.73828125,0.5,1
1765896762946,325.83984375,221.1328125,0.5,1
1765896762963,342.921875,157.79296875,0.5,1
1765896762980,370.81640625,111.94140625,0.5,1
1765896762995,392.59765625,89.390625,0.5,1
1765896763013,407.13671875,80.4375,0.5,1
1765896763029,415.2265625,80.8984375,0.5,1
1765896763045,412.71484375,95.8671875,0.5,1
1765896763063,398.37890625,119.89453125,0.5,1
1765896763071,398.37890625,119.89453125,,
1765896763372,449.140625,49.42578125,0.5,1
